prod_id,name,category,risk_class,price,interest_rate,short_desc,long_desc
101,GiroPlus,Giro,niedrig,89.9,,Premium Girokonto mit kostenlosen Überweisungen und Kreditkarte inklusive,"Unser GiroPlus ist das Rundum-sorglos-Girokonto für den Alltag. Neben einer kostenlosen Debit- und Kreditkarte erhalten Kund:innen weltweit bis zu fünf Gratis-Bargeldabhebungen pro Monat, Echtzeit-Überweisungen und ein intelligentes Budget-Dashboard in der App. Dank 24/7-Kundenservice und einem fairen Dispozins behalten Nutzer:innen jederzeit die volle Kontrolle über ihre Finanzen."
102,DepotBasic,Depot,mittel,12.5,,Günstige Wertpapierdepot für Einsteiger mit reduzierten Ordergebühren,"DepotBasic richtet sich an Wertpapier-Einsteiger, die kostengünstig und unkompliziert investieren möchten. Ab einem Depotbestand von 5.000 € entfallen die Depotgebühren komplett, Ordergebühren bleiben dauerhaft unter Marktniveau. ETF-Sparpläne ab 25 € sowie interaktive Lernmodule unterstützen Schritt für Schritt beim Vermögensaufbau."
103,GoldCard,Kreditkarte,niedrig,150.0,,Premium Kreditkarte mit Versicherungsschutz und weltweiten Vorteilen,"Die GoldCard verbindet komfortables Bezahlen mit einem umfangreichen Reise- und Einkaufsversicherungspaket. Enthalten sind weltweiter LoungeKey-Zugang, 1 % Cashback auf alle Umsätze und ein zinsfreies Zahlungsziel von bis zu 60 Tagen. Ein Echtzeit-Betrugsschutz garantiert zusätzliche Sicherheit."
104,LebensSchutz,Versicherung,niedrig,280.0,,Umfassende Lebensversicherung mit flexiblen Beitragszahlungen und Gewinnbeteiligung,"LebensSchutz sichert Ihre Familie im Ernstfall ab und bietet gleichzeitig attraktive Überschussbeteiligungen. Beitragsfreie Zeiten während Elternzeit oder Arbeitslosigkeit sowie optionale Berufsunfähigkeitsabsicherung machen den Tarif flexibel. Jahresweise Gewinnanteile erhöhen automatisch die garantierte Leistung."
105,DepotProfessional,Depot,hoch,45.0,,Professionelles Depot für aktive Trader mit erweiterten Analysefunktionen,"DepotProfessional wurde für aktive Trader und anspruchsvolle Investor:innen konzipiert. Level-2-Marktdaten, Margin-Handel und API-Zugriff für algorithmisches Trading ermöglichen schnelle, fundierte Entscheidungen. Ein persönlicher Key-Account-Manager und Realtime-News-Feeds runden das Angebot ab."
106,UnfallSchutz,Versicherung,niedrig,120.0,,Umfassender Unfallschutz für Beruf und Freizeit mit schneller Auszahlung,"UnfallSchutz gewährt weltweiten Schutz in Beruf, Freizeit und Sport. Neben einer Invaliditätsleistung bis 1 Mio. € umfasst der Tarif Krankenhaustagegeld, Reha-Leistungen und Assistance-Services. Eine besonders schnelle Leistungsbearbeitung sorgt dafür, dass finanzielle Hilfe im Ernstfall sofort zur Verfügung steht."
107,BauFinanz Standard,Immobilienkredit,mittel,350.0,3.85,"Klassische Baufinanzierung mit flexiblen Laufzeiten von 10-30 Jahren und Sondertilgungsoption (Zinssatz ab 3,85% p.a.)","BauFinanz Standard ist die verlässliche Wahl für Ihr Eigenheim. Feste Zinssätze von 10 bis 30 Jahren und kostenlose Sondertilgungen bis 5 % pro Jahr bieten Planungs- und Rückzahlungsfreiheit. Der digitale Antragsprozess wird von persönlichen Finanzierungsexpert:innen begleitet."
108,WohnTraum Flex,Immobilienkredit,mittel,450.0,4.25,"Flexible Immobilienfinanzierung mit variablem Zinssatz und kostenloser Ratenpausenoption (Zinssatz ab 4,25% p.a.)","WohnTraum Flex richtet sich an Käufer:innen, die variable Rückzahlungsoptionen wünschen. Der Zinssatz passt sich halbjährlich an, kostenlose Ratenpausen und jährliche Sondertilgungen sind inklusive. Nach fünf Jahren kann ohne Vorfälligkeitsentschädigung in eine feste Zinsbindung gewechselt werden."
109,ImmoInvest Pro,Immobilienkredit,hoch,550.0,4.95,"Finanzierung für Kapitalanleger mit bis zu 100% Beleihung und steuerlichen Vorteilen (Zinssatz ab 4,95% p.a.)","ImmoInvest Pro ist speziell für Kapitalanleger ausgelegt. Eine Beleihung bis 100 % des Kaufpreises und eine zinsgünstige Interest-Only-Phase maximieren den Cash-Flow. Kostenlose Objektbewertung und strukturierte Steuerreports erleichtern die Renditeoptimierung."
110,ErstHeim Bonus,Immobilienkredit,niedrig,250.0,3.45,"Spezialfinanzierung für Erstkäufer mit staatlicher Förderung und reduzierten Zinsen (Zinssatz ab 3,45% p.a.)","Der ErstHeim Bonus unterstützt junge Familien beim Traum vom ersten Eigenheim. Staatliche Zuschüsse, reduzierte Zinsen und niedrige Bearbeitungsgebühren senken die Gesamtbelastung. Eltern können als Bürgen eintreten, während flexible Tilgungsoptionen zusätzliche Sicherheit bieten."
